File,Size_GB,Duration_min,Video_Codec,Resolution,Video_Bitrate_kbps,Audio_Codec,Audio_Channels,Audio_Bitrate_kbps,Quality_Score,Recommendation,Notes
"/mnt/media/legacy-media/Movies/1080p/A Beautiful Mind/A.Beautiful.Mind.2001.1080p.BluRay.x264-KaKa.mkv",.13,135.3,AVC,1920x1040,N/A,DTS,6,1509,60,KEEP,"H.264/AVC codec. 720p. High-quality audio (DTS). 6ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/Movies/1080p/Blue.Ruin.2013.LIMITED.1080p.BluRay.x264-GECKOS/Blue.Ruin.2013.LIMITED.1080p.BluRay.x264-GECKOS.mkv",6.55,92.2,AVC,1920x808,8872,DTS,6,1509,75,KEEP,"H.264/AVC codec. 720p. Good bitrate. High-quality audio (DTS). 6ch surround. ✓ KEEP - Excellent for home theater"
"/mnt/media/legacy-media/Movies/1080p/Edge.Of.Tomorrow.2014.720p.BluRay.x264-SPARKS/Edge.of.Tomorrow.2014.720p.BluRay.x264-SPARKS.mkv",5.46,113.4,AVC,1280x536,5379,DTS,6,1509,45,MAYBE,"H.264/AVC codec. ⚠ 480p/DVD quality. High-quality audio (DTS). 6ch surround. ? MAYBE - Acceptable but not ideal"
"/mnt/media/legacy-media/Movies/1080p/Ex.Machina.2015.1080p.BluRay.DTS.x264-CyTSuNee/Ex.Machina.2015.1080p.BluRay.DTS.x264-CyTSuNee.mkv",7.94,108.0,AVC,1920x804,9025,DTS,6,1509,75,KEEP,"H.264/AVC codec. 720p. Good bitrate. High-quality audio (DTS). 6ch surround. ✓ KEEP - Excellent for home theater"
"/mnt/media/legacy-media/Movies/1080p/Fantasia.2000.1999.1080p.BluRay.DTS.x264-CyTSuNee/Fantasia.2000.1999.1080p.BluRay.DTS.x264-CyTSuNee.mkv",2.54,74.5,AVC,1920x1080,1138,DTSDTSAC-3,666,15090001509000640,65,KEEP,"H.264/AVC codec. 1080p. ⚠⚠ LOW BITRATE for 1080p (1138kbps). Unknown audio (DTSDTSAC-3). 666ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/Movies/1080p/Indiana.Jones.and.the.Raiders.of.the.Lost.Ark.1981.1080p.BluRay.x264-BARC0DE/Indiana.Jones.and.the.Raiders.of.the.Lost.Ark.1981.1080p.BluRay.x264-BARC0DE.mkv",9.19,115.3,AVC,1920x816,10000,DTS,6,1509,80,KEEP,"H.264/AVC codec. 720p. ★ Excellent bitrate. High-quality audio (DTS). 6ch surround. ✓ KEEP - Excellent for home theater"
"/mnt/media/legacy-media/Movies/1080p/Indiana.Jones.and.the.Temple.of.Doom.1984.1080p.BluRay.x264-BARC0DE/Indiana.Jones.and.the.Temple.of.Doom.1984.1080p.BluRay.x264-BARC0DE.mkv",9.39,118.4,AVC,1920x816,10000,DTS,6,1509,80,KEEP,"H.264/AVC codec. 720p. ★ Excellent bitrate. High-quality audio (DTS). 6ch surround. ✓ KEEP - Excellent for home theater"
"/mnt/media/legacy-media/Movies/1080p/Juno.2007.Multi.1080p.BluRay.x264.DTS-fidelio/juno.2007.multi.1080p.bluray.x264.dts-fidelio.mkv",7.65,96.0,AVC,1920x1040,9125,DTSDTS,66,7680001509,65,KEEP,"H.264/AVC codec. 720p. Good bitrate. Unknown audio (DTSDTS). 66ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/Movies/1080p/Kingsman.The.Secret.Service.2014.1080p.BluRay.x264.DTS-HD.MA.7.1-NL/wicked.KTSS4102/Kingsman/Kingsman.The.Secret.Service.2014.1080p.BluRay.x264.DTS-HD.MA.7.1-NL/Kingsman.The.Secret.Service.2014.1080p.BluRay.x264.DTS-HD.MA.7.1-NL.mkv",12.90,128.6,AVC,1920x808,N/A,DTS,8,N/A,60,KEEP,"H.264/AVC codec. 720p. High-quality audio (DTS). 8ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/Movies/1080p/Rain.Man.1988.720p.BluRay.DTS.x264-CyTSuNee/[247]lvpjRnMn1988/Belangrijk/Place2Use.net.Intro.mp4",.01,1.5,AVC,854x480,1297,AAC,2,192,30,RE-RIP,"H.264/AVC codec. ⚠ 480p/DVD quality. ⚠ Compressed audio only. 2ch audio. ✗ RE-RIP - Buy and rip from Blu-ray"
